no;partlor_name;region;District;unique_menu;price;google_rating;google_count;qraved_rating;qraved_count;zomato_rating;zomato_count;dining;takeaway;delivery;outdoor_seat;smoking_area;alcohol_served;wifi;reservation;drive_thru;halal_food
1;Burger King Grand Indonesia;Central Jakarta;Thamrin;Whooper Jr.;37273;04.04;1103;5;2;03.08;123;yes;yes;yes;no;no;no;no;no;no;yes
2;Burger King Thamrin City;Central Jakarta;Tanah Abang;Whooper Jr.;37273;04.04;715;5;1;03.01;38;yes;yes;yes;no;no;no;no;no;no;yes
3;Burger King Bendungan Hilir;Central Jakarta;Bendungan Hilir;Whooper Jr.;37273;04.05;3656;5;1;03.01;21;yes;yes;yes;yes;yes;no;yes;no;no;yes
4;Burger King Citywalk Sudirman;Central Jakarta;Sudirman;Cheese Burger;25000;04.03;453;04.02;44;03.04;61;yes;yes;yes;yes;yes;no;yes;no;no;yes
5;Burger King Hayam Wuruk;Central Jakarta;Hayam Wuruk;Chicken Steakhouse BBQ;59901;04.05;4085;04.01;11;03.03;120;yes;yes;yes;yes;yes;no;yes;no;no;yes
6;Burger King Atrium Plaza;Central Jakarta;Senen;Mushroom Swiss XL;59901;04.03;397;4;1;02.08;30;yes;yes;no;no;yes;no;yes;no;no;yes
7;Burger King Cempaka Putih;Central Jakarta;Cempaka Putih;Whooper Jr.;37273;04.04;532;03.03;3;03.01;42;yes;yes;yes;yes;yes;no;yes;no;yes;yes
9;Flip Burger;Central Jakarta;Sudirman;Cheese Burger;40909;03.09;55;5;1;03.03;37;yes;yes;no;no;no;no;no;no;no;yes
10;Lawless Burger;Central Jakarta;Menteng;The Lemmy;105000;04.06;1821;5;1;04.01;103;yes;yes;no;yes;yes;yes;yes;yes;no;yes
11;Lemoe Burger;Central Jakarta;Cempaka Putih;Chicken Cabe Ijo;14000;0;0;04.03;4;0;0;yes;yes;yes;yes;no;no;no;no;no;yes
12;Le Burger;Central Jakarta;Sudirman;Truffle Burger;130000;04.05;778;04.03;14;04.03;389;yes;yes;yes;no;yes;yes;yes;yes;no;yes
13;Burger Bener;Central Jakarta;Senen;Beef Burger Spicy BBQ Sauce;24000;04.05;1171;4;1;03.07;51;yes;yes;yes;yes;yes;no;no;no;no;yes
14;Dope Burger;Central Jakarta;Menteng;All American;75000;04.05;775;03.05;2;04.03;774;yes;yes;yes;no;yes;no;yes;yes;no;yes
15;The Goods Diner;Central Jakarta;SCBD;Coffee Rubed Burger;120000;04.03;901;03.09;39;04.01;704;yes;yes;yes;no;yes;yes;yes;yes;no;no
16;Burgreens Menteng;Central Jakarta;Menteng;Mini Trio Vegan Burger;75000;04.05;473;4;2;04.04;237;yes;yes;no;no;yes;no;yes;no;no;yes
17;Burgreens Pacific Place;Central Jakarta;SCBD;Mini Trio Vegan Burger;75000;04.05;532;04.01;30;04.04;323;yes;yes;yes;no;no;no;yes;no;no;yes
18;JJ Royal Brasserie;Central Jakarta;Karet;Western Bacon Cheese Burger;110000;04.05;1252;4;63;4;578;yes;no;no;yes;yes;no;yes;yes;no;no
19;Hard Rock Cafe;Central Jakarta;SCBD;Original Legendary Burger;229000;04.05;3071;4;42;04.02;710;yes;yes;no;yes;yes;yes;yes;yes;no;no
20;Ask for Patty;Central Jakarta;Menteng;Classic Patty;60500;04.07;127;0;0;03.08;13;yes;yes;yes;yes;yes;no;no;no;no;yes
21;Johny Rockets;Central Jakarta;Karet;Bacon Cheddar;72000;04.03;320;4;41;03.01;59;yes;yes;no;yes;yes;no;yes;yes;no;yes
22;BarBurger;Central Jakarta;Cempaka Putih;Barchiz Burger;23000;04.05;216;0;0;03.08;26;yes;yes;no;no;no;no;no;no;no;yes
23;Belly Bandit To Go;Central Jakarta;Menteng;Bandit Tower;68000;04.06;100;0;0;03.06;11;yes;yes;yes;no;no;no;no;no;no;yes
24;Klenger Burger;Central Jakarta;Senen;Super Duper Klenger Burger;45000;04.08;9;0;0;03.06;12;yes;yes;yes;no;no;no;no;no;no;yes
25;Gode Burger;Central Jakarta;Pecenongan;Pretty Purple Chicken Matah;30000;04.05;21;0;0;03.03;11;yes;yes;no;no;no;no;no;no;no;yes
26;Lucy Beer & Burger Bar;Central Jakarta;Sudirman;Bacon Me Crazy;68000;04.06;31;0;0;03.05;35;yes;yes;no;yes;yes;yes;no;no;no;yes
27;Burger King Klender;East Jakarta;Klender;Chicken Tendercrisp;42727;04.05;6409;3;1;03.07;86;yes;yes;yes;yes;no;no;yes;no;no;yes
28;Burger King Cibubur Junction;East Jakarta;Cibubur;Cheese Burger;25000;04.04;622;5;1;03.06;20;yes;yes;yes;no;no;no;yes;no;no;yes
29;Dons Burger Pusat Grosir Cililitan;East Jakarta;Cililitan;Spesial Burger;13000;04.04;158;5;1;4;99;yes;yes;no;no;yes;no;no;no;no;yes
30;Lemoe Burger Matraman;East Jakarta;Matraman;Chicken Cabe Ijo;14000;0;0;03.07;3;0;0;yes;yes;yes;yes;no;no;no;no;no;yes
31;Resto Burger Takkatak;East Jakarta;Kramat Jati;Extra Double Beef & Cheese Burger;30000;04.02;91;04.03;4;03.08;37;yes;yes;no;no;yes;no;no;no;no;yes
32;Carl's Jr. Klender;East Jakarta;Klender;Double Western Beefbac;82727;04.06;5220;03.08;5;04.03;178;yes;yes;yes;no;no;no;yes;no;no;yes
33;Lemoe Burger Pulo Gadung;East Jakarta;Pulo Gadung;Chicken Special Cheese;20000;04.05;218;0;0;03.05;6;yes;yes;no;yes;no;no;no;no;no;yes
34;The Lime Roaster & Burger;East Jakarta;Pulo Gadung;Chicken Burger;25000;04.04;30;0;0;03.03;5;yes;yes;no;no;no;no;no;no;no;yes
35;Papito's Burger;East Jakarta;Kramat Jati;Mozarella Burger;14000;0;0;0;0;03.05;4;yes;yes;no;no;no;no;no;no;no;yes
36;Burger King Pantai Indah Kapuk;North Jakarta;Pantai Indah Kapuk;Cheese Burger;25000;04.04;5945;4;7;3;102;yes;yes;yes;yes;yes;no;yes;no;no;yes
